Componente,CTE_PICO,CT_Optimo_PICO,CTE_NORMAL,CT_Optimo_NORMAL,CTE_TOTAL,CT_Optimo_TOTAL
Carrocería Artesanal de Época,7506.6637,1387506.6637,15062.3703,2265062.3703,22569.034,3652569.034
Carrocería Estándar (Fibra),6756.6017,1124756.6017,13498.3641,1820498.3641,20254.9658,2945254.9658
Motor de Alto Rendimiento V8,7950.4717,1555950.4717,15883.482,2517883.482,23833.9537,4073833.9537
Motor de Cilindros de Línea Raro,6714.1641,1110714.1641,13472.1936,1813472.1936,20186.3577,2924186.3577
Tapicería de Cuero Premium,6566.5821,1062566.5821,13138.7468,1725138.7468,19705.3289,2787705.3289
TOTAL,35494.4833,6241494.4833,71055.1568,10142055.1568,106549.6401,16383549.6401
