Componente,CTE_PICO,CT_Optimo_PICO,CTE_NORMAL,CT_Optimo_NORMAL,CTE_TOTAL,CT_Optimo_TOTAL
Carrocería Artesanal de Época,110702.1088,1385706.4738,44975.2298,2265164.5588,155677.3386,3650871.0326
Carrocería Estándar (Fibra),58581.9858,1123141.715,28663.6843,1820593.279,87245.6701,2943734.994
Motor de Alto Rendimiento V8,96674.2824,1554050.2397,41551.5702,2517995.168,138225.8527,4072045.4077
Motor de Cilindros de Línea Raro,97117.5897,1109104.0253,39688.3569,1813563.5937,136805.9466,2922667.619
Tapicería de Cuero Premium,76546.4663,1060995.2656,33432.9137,1725229.9916,109979.38,2786225.2572
TOTAL,439622.433,6232997.7194,188311.755,10142546.5911,627934.188,16375544.3105
