Componente,Estacion,Demanda_Estacion,Demanda_Anualizada,EOQ,Num_Pedidos,ROP,CTE,Costo_Unitario
Motor de Alto Rendimiento V8,NORMAL,277.775082056536,333.3300984678432,10.54087438605614,26.352185965140347,38.49077349513202,15811.31157908421,9000
Motor de Cilindros en Línea Raro,NORMAL,149.57119803044245,179.48543763653092,6.698608766686761,22.32869588895587,41.45160222552678,13397.217533373523,12000
Carrocería Artesanal de Época,NORMAL,149.57119803044245,179.48543763653092,5.991417822795051,24.964240928312712,34.54300185460565,14978.544556987628,15000
Carrocería Estándar (Fibra),NORMAL,277.775082056536,333.3300984678432,12.403413273422451,22.395051743679424,25.660515663421343,13437.031046207656,6500
Transmisión de 5 Velocidades,NORMAL,427.3462800869785,512.8155361043741,20.965595002378283,20.383217363423334,39.47771640526361,12229.930418053998,3500
Sistema de Inyección Electrónica,NORMAL,277.775082056536,333.3300984678432,28.86737338535683,9.622457795118946,19.24538674756601,5773.474677071366,1200
Set de Carburadores Dobles,NORMAL,149.57119803044245,179.48543763653092,24.459860836107993,6.114965209027,17.271500927302824,3668.979125416199,900
Tapicería de Cuero Premium,NORMAL,427.3462800869785,512.8155361043741,19.611518352189883,21.790575946877652,78.95543281052721,13074.345568126591,4000
Juego de Llantas Vintage Espec.,NORMAL,598.2847921217698,717.9417505461237,29.351833003329595,20.38321736342333,69.0860037092113,12229.930418053998,2500
Llantas Regulares Cromados,NORMAL,1111.100328226144,1333.3203938713727,99.99951476899923,11.111057196555471,51.321031326842686,6666.634317933283,400
Cubiertas de Alta Gama (Neumáticos),NORMAL,1709.385120347914,2051.2621444174965,156.89214681751906,10.895287973438826,78.95543281052721,6537.172784063296,250
