Componente,Estacion,Demanda_Estacion,EOQ,Num_Pedidos,Tiempo_Entre_Pedidos_Semanas,Tiempo_Entre_Pedidos_Dias,ROP,CTE,Costo_Unitario,Stock_Seguridad,sigma_mensual,CT_Optimo
Carrocería Artesanal de Época,NORMAL,150.0,6.957010852370434,34.785054261852174,1.244787478957189,8.713512352700324,44.57892268308753,44975.22983101585,15000,9.93689035052401,3.9749213828703582,2265164.5587794436
Motor de Alto Rendimiento V8,NORMAL,278.0,12.24744871391589,36.742346141747674,1.1784767318056844,8.24933712263979,52.719941179302765,41551.570226259995,9000,14.198001225492137,7.332121111929345,2517995.168020374
Motor de Cilindros de Línea Raro,NORMAL,150.0,7.7781745930520225,31.112698372208094,1.391714710244432,9.742002971711024,52.455756791951046,39688.35689475065,12000,10.885317992874835,3.9749213828703582,1813563.5937118512
Carrocería Estándar (Fibra),NORMAL,278.0,14.41153384245784,31.224989991991993,1.3867098119520544,9.706968683664382,37.273912759162414,28663.684270122438,6500,11.592619456621994,7.332121111929345,1820593.2789765138
Tapicería de Cuero Premium,NORMAL,428.0,22.781571499789035,30.37542866638538,1.4254942860417126,9.978460002291989,104.32986513264316,33432.91374777649,4000,25.253652661511516,11.294246322796399,1725229.9916185674
