alpha,q_pct,lambda,lambda_pct,cambio_cte_pct,clasificacion
0.5,50.0,1.25,125.0,25.0,severo
0.55,55.00000000000001,1.184090909090909,118.4090909090909,18.409090909090907,severo
0.6,60.0,1.1333333333333333,113.33333333333333,13.33333333333333,severo
0.65,65.0,1.0942307692307691,109.4230769230769,9.423076923076913,moderado
0.7,70.0,1.0642857142857143,106.42857142857143,6.428571428571428,moderado
0.75,75.0,1.0416666666666665,104.16666666666666,4.166666666666652,aceptable
0.8,80.0,1.025,102.49999999999999,2.499999999999991,aceptable
0.8500000000000001,85.00000000000001,1.013235294117647,101.3235294117647,1.3235294117647012,aceptable
0.9,90.0,1.0055555555555555,100.55555555555556,0.5555555555555536,aceptable
0.95,95.0,1.0013157894736842,100.13157894736841,0.1315789473684159,aceptable
1.0,100.0,1.0,100.0,0.0,optimo
1.05,105.0,1.0011904761904762,100.11904761904762,0.11904761904761862,aceptable
1.1,110.00000000000001,1.0045454545454546,100.45454545454547,0.454545454545463,aceptable
1.15,114.99999999999999,1.009782608695652,100.9782608695652,0.9782608695652062,aceptable
1.2000000000000002,120.00000000000001,1.0166666666666666,101.66666666666666,1.6666666666666607,aceptable
1.25,125.0,1.025,102.49999999999999,2.499999999999991,aceptable
1.3,130.0,1.0346153846153845,103.46153846153845,3.4615384615384492,aceptable
1.35,135.0,1.0453703703703705,104.53703703703705,4.5370370370370505,aceptable
1.4,140.0,1.0571428571428572,105.71428571428572,5.714285714285716,moderado
1.4500000000000002,145.00000000000003,1.0698275862068967,106.98275862068967,6.982758620689666,moderado
1.5,150.0,1.0833333333333333,108.33333333333333,8.333333333333325,moderado
